"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 01 21:02:24 MSK 2025","Sun Jun 01 21:02:24 MSK 2025","63","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"skipped","Sun Jun 01 21:02:34 MSK 2025","Sun Jun 01 21:02:35 MSK 2025","590","tests","test_order_page","TestOrderPageOrder","","","Проверка позитивного сценария оформления заказа","Сквозное тестирование функциональности оформления заказа из двух точек входа"
"passed","Sun Jun 01 21:02:09 MSK 2025","Sun Jun 01 21:02:09 MSK 2025","60","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"passed","Sun Jun 01 21:02:14 MSK 2025","Sun Jun 01 21:02:14 MSK 2025","59","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"passed","Sun Jun 01 21:01:55 MSK 2025","Sun Jun 01 21:01:55 MSK 2025","63","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"skipped","Sun Jun 01 21:02:40 MSK 2025","Sun Jun 01 21:02:41 MSK 2025","584","tests","test_order_page","TestOrderPageOrder","","","Проверка позитивного сценария оформления заказа","Сквозное тестирование функциональности оформления заказа из двух точек входа"
"passed","Sun Jun 01 21:01:38 MSK 2025","Sun Jun 01 21:01:45 MSK 2025","6677","tests","test_logo_click","TestLogo","","","Проверка перехода на страницу ""Дзена"" при клике на лого ""Яндекс""",""
"passed","Sun Jun 01 21:01:34 MSK 2025","Sun Jun 01 21:01:34 MSK 2025","114","tests","test_logo_click","TestLogo","","","Проверка перехода на главную страницу сервиса при клике на лого ""Самокат"" в шапке",""
"passed","Sun Jun 01 21:02:00 MSK 2025","Sun Jun 01 21:02:00 MSK 2025","58","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"passed","Sun Jun 01 21:01:50 MSK 2025","Sun Jun 01 21:01:51 MSK 2025","61","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"passed","Sun Jun 01 21:02:29 MSK 2025","Sun Jun 01 21:02:29 MSK 2025","60","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
"passed","Sun Jun 01 21:02:19 MSK 2025","Sun Jun 01 21:02:19 MSK 2025","60","tests","test_main_page","TestMainPageFaq","","","Проверка раздела ""Вопросы о важном""","Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе"
